Maker,Maker_Group,Month,Registerations,State 
AUTOHAUS PRIVATE LIMITED,Others,FEB,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,MAR,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,APR,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,MAY,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,JUN,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,JUL,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,AUG,1,Bihar
AUTOHAUS PRIVATE LIMITED,Others,SEP,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,OCT,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,NOV,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,DEC,0,Bihar
AUTO SUPREME INDUSTRIES,Others,JAN,0,Bihar
AUTO SUPREME INDUSTRIES,Others,FEB,0,Bihar
AUTO SUPREME INDUSTRIES,Others,MAR,0,Bihar
AUTO SUPREME INDUSTRIES,Others,APR,0,Bihar
AUTO SUPREME INDUSTRIES,Others,MAY,0,Bihar
AUTO SUPREME INDUSTRIES,Others,JUN,0,Bihar
AUTO SUPREME INDUSTRIES,Others,JUL,0,Bihar
AUTO SUPREME INDUSTRIES,Others,AUG,0,Bihar
AUTO SUPREME INDUSTRIES,Others,SEP,0,Bihar
AUTO SUPREME INDUSTRIES,Others,OCT,3,Bihar
AUTO SUPREME INDUSTRIES,Others,NOV,2,Bihar
AUTO SUPREME INDUSTRIES,Others,DEC,1,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,JAN,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,FEB,1,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,MAR,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,APR,1,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,MAY,3,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,JUN,2,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,JUL,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,AUG,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,SEP,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,OCT,0,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,NOV,1,Bihar
A.V.AUTOMOTIVES PVT LTD,Others,DEC,0,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,JAN,46,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,FEB,36,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,MAR,33,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,APR,21,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,MAY,47,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,JUN,40,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,JUL,19,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,AUG,34,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,SEP,19,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,OCT,37,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,NOV,73,Bihar
AVL ELECTRIC VEHICLES PVT LTD,Others,DEC,68,Bihar
AVON CYCLES LTD,YC,JAN,6,Bihar
AVON CYCLES LTD,YC,FEB,9,Bihar
AVON CYCLES LTD,YC,MAR,4,Bihar
